"codigo";"disciplina";"docente";"comentario";"sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
"TIN0108";"ORGANIZAÇÃO DE COMPUTADORES";"LEONARDO LUIZ ALENCASTRO ROCHA";"Sem comentarios";"Sem sugestoes"
